event,date,name,result
55 Meter Dash,2018,Davonte Burnett,6.34
300 Meter Dash,2018,Davonte Burnett,34.16
600 Meter Run,2016,William Ashenfelter,1:22.23
1000 Meter Run,2016,Alex Turner,2:33.72
1 Mile Run,2022,Kyler McNatt,4:21.13
2 Mile Run,2022,Kyler McNatt,9:18.38
55 Meter Hurdles,2011,Peter Farlow,7.83
Shot Put,1978,Chip Huckins,56&apos; 10.5&quot;
High Jump,1981,Wayne Shields,6&apos; 5&quot;
Long Jump,2018,Davonte Burnett,22&apos; 6.75&quot;
Pentathlon,2011,Peter Farlow,3038
4 x 200 Meter Relay,2016,Noah Ogbebor;Trevow Shofield;Ben Mesnik;Davonte Burnett,1:31.78
4 x 400 Meter Relay,2019,Thomas Jordan;Shermar Scott;Henry Kennedy;Alex Warner,3:23.96
4 x 800 Meter Relay,2014,Derek Howes;Tommy Kelly;John Benner;Daniel Alpert,8:08.05
Sprint Medley,2016,Kevin Quinn;Trevow Schofield;Davonte Burnett;William Ashenfelter,3:35.00
Distance Medley,2016,Kevin Quinn;William Ashenfelter;Alex Turner;John Benner,10:27.96
