event,date,name,result
55 Meter Dash,2005,Violet King,7.32
300 Meter Dash,2023,Alexandra Bold,41.43
600 Meter Run,2002,Jessie Colby,1:35.55
1000 Meter Run,2016,Margaret Cullen,2:50.41
1 Mile Run,2016,Margaret Cullen,4:50.15
2 Mile Run,2016,Margaret Cullen,10:31.40
55 Meter Hurdles,1999,Christina Regan,8.80
Shot Put,1999,Vilavone Simmai,36&apos; 2&quot;
High Jump,1999,Sarah Daoust,5&apos; 5&quot;
Long Jump,1991,Elena Zhelezov,18&apos; 0.75&quot;
Pentathlon,2013,Robin Kelly,2806
4 x 200 Meter Relay,2000,Jaclyn Raffol;Liz Moderi;Kim Kelly;Jill Zagami,1:46.12
4 x 400 Meter Relay,2023,Marisa Malo;Maryn MacNeill;Audreey Adam;Alexandra Bold,4:03.37
4 x 800 Meter Relay,2014,Sarah Armstrong;Margaret Cullen;Samantha Lerner;Kaleigh Hughes,9:22.91
Sprint Medley,2016,Margaret Cullen;Haley Cole;Jessie Hem;Sarah Armstrong,4:09.15
Distance Medley,2016,Sarah Armstrong;Nicole Stevens;Daniella Pascucci;Margaret Cullen,12:10.92
