event,date,name,result
100 Meter Dash,2017,Davonte Burnett,10.48
200 Meter Dash,2017,Davonte Burnett,21.36
400 Meter Run,2019,Alex Warner,49.36
800 Meter Run,2016,William Ashenfelter,1:55.33
1 Mile Run,1974,Steve McMorrow,4:17.4
2 Mile Run,2022,Kyler McNatt,9:15.08
100 / 110 Meter Hurdles,2015,Daniel Xu,14.7
400 Meter Hurdles,2011,Peter Farlow,54.67
High Jump,1981,Wayne Shields,6&apos; 3&quot;
Long Jump,1954,Jack Talmadge,22&apos; 9&quot;
Triple Jump,1971,Ted Snyder,46&apos; 2.75&quot;
Shot Put,1978,Chip Huckins,59&apos; 6&quot;
Discus,1967,Dave Leffers,164&apos; 9&quot;
Javelin,1971,Steve Praetsch,178&apos; 10&quot;
Heptathlon / Decathlon,2011,Peter Fallow,178&apos; 10&quot;
4 x 100 Meter Relay,2018,Shermar Scott;Davonte Burnett;Aaron Camille;Thomas Jordan,43.28
4 x 400 Meter Relay,2019,Shermar Scott;Thomas Jordan;Cameron McLeod;Alex Warner,3:19.55
4 x 800 Meter Relay,1979,Tim Nugent;Brian Annese;Barry McMorrow;Brian Johnston,7:59.0
4 x 1600 Meter Relay,2017,Cameron McLeod;Kevin Quinn;Chris Gillis;Steven Flanagan,18:01.62
Sprint Medley,2015,William Ashenfelter;Lucas Jacobs;Davonte Burnett;Jack Strollo,3:37.89
Distance Medley,1974,Steve McMorrow;Scott Walter;Steve Ridge;Eric Kilburn,10:27.3
